week_num,site,year,block,plant_sp,species,common.NAme,tot_flw,avg_flor_area,tot_flor_area,avg_tall_flw,per_tar_cov,tot_hb,tol_syr
30,NWMHRC,2016,2,ASVE,Asclepias verticillata,Whorled Milkweed,272,0.2032,55.2704,56,15,0,0
30,NWMHRC,2016,3,ASVE,Asclepias verticillata,Whorled Milkweed,395.2,0.2032,80.30464,64,15,1,0
30,NWMHRC,2016,4,ASVE,Asclepias verticillata,Whorled Milkweed,603,0.2032,122.5296,53,30,1,0
31,NWMHRC,2016,1,ASVE,Asclepias verticillata,Whorled Milkweed,340.4,0.2032,69.16928,66,35,0,0
31,NWMHRC,2016,4,ASVE,Asclepias verticillata,Whorled Milkweed,627,0.2032,127.4064,62,50,0,0
31,NWMHRC,2016,2,ASVE,Asclepias verticillata,Whorled Milkweed,413.6,0.2032,84.04352,55,10,0,0
31,NWMHRC,2016,3,ASVE,Asclepias verticillata,Whorled Milkweed,730.4,0.2032,148.41728,64,15,0,0
33,CRC,2015,1,ASVE,Asclepias verticillata,Whorled Milkweed,5548.8,0.2032,1127.51616,75,100,4,0
33,CRC,2015,4,ASVE,Asclepias verticillata,Whorled Milkweed,2419.2,0.2032,491.58144,67,55,1,1
33,CRC,2015,3,ASVE,Asclepias verticillata,Whorled Milkweed,3705.6,0.2032,752.97792,64,90,1,0
33,CRC,2015,2,ASVE,Asclepias verticillata,Whorled Milkweed,2169.6,0.2032,440.86272,67,55,0,0
33,SWMREC,2015,2,ASVE,Asclepias verticillata,Whorled Milkweed,394.4,0.2032,80.14208,62,35,0,0
